elev_ft_ngvd29,elev_ft_navd88,area_km2,volume_kaf
4183.5,4186.98,1190.75,2960.2
4183.6,4187.08,1196.34,2989.7
4183.7,4187.18,1201.76,3019.4
4183.8,4187.28,1206.67,3049.0
4183.9,4187.38,1211.37,3078.9
4184.0,4187.48,1215.81,3109.0
4184.1,4187.58,1220.02,3139.1
4184.2,4187.68,1224.17,3169.3
4184.3,4187.78,1228.43,3199.5
4184.4,4187.88,1232.71,3229.9
4184.5,4187.98,1237.52,3260.5
4184.6,4188.08,1242.66,3291.1
4184.7,4188.18,1247.85,3321.9
4184.8,4188.28,1252.71,3352.7
4184.9,4188.38,1257.27,3383.8
4185.0,4188.48,1261.37,3414.9
4185.1,4188.58,1265.2,3446.2
4185.2,4188.68,1269.34,3477.5
4185.3,4188.78,1273.42,3508.8
4185.4,4188.88,1277.65,3540.4
4185.5,4188.98,1282.67,3572.0
4185.6,4189.08,1287.92,3603.8
4185.7,4189.18,1292.78,3635.7
4185.8,4189.28,1297.36,3667.6
4185.9,4189.38,1301.7,3699.7
4186.0,4189.48,1305.85,3732.0
4186.1,4189.58,1309.98,3764.3
4186.2,4189.68,1314.16,3796.8
4186.3,4189.78,1318.43,3829.2
4186.4,4189.88,1322.91,3861.9
4186.5,4189.98,1328.2,3894.6
4186.6,4190.08,1333.99,3927.6
4186.7,4190.18,1339.41,3960.6
4186.8,4190.28,1344.29,3993.7
4186.9,4190.38,1348.97,4027.0
4187.0,4190.48,1353.4,4060.4
4187.1,4190.58,1357.7,4093.9
4187.2,4190.68,1362.05,4127.6
4187.3,4190.78,1366.69,4161.1
4187.4,4190.88,1371.85,4195.0
4187.5,4190.98,1378.55,4229.0
4187.6,4191.08,1384.96,4263.2
4187.7,4191.18,1390.63,4297.5
4187.8,4191.28,1395.61,4331.8
4187.9,4191.38,1400.3,4366.4
4188.0,4191.48,1404.85,4401.1
4188.1,4191.58,1409.37,4435.9
4188.2,4191.68,1413.99,4470.8
4188.3,4191.78,1418.58,4505.7
4188.4,4191.88,1423.31,4540.8
4188.5,4191.98,1429.1,4576.1
4188.6,4192.08,1435.49,4611.5
4188.7,4192.18,1441.7,4647.1
4188.8,4192.28,1446.81,4682.6
4188.9,4192.38,1451.63,4718.5
4189.0,4192.48,1456.2,4754.5
4189.1,4192.58,1460.57,4790.5
4189.2,4192.68,1464.59,4826.7
4189.3,4192.78,1468.5,4862.8
4189.4,4192.88,1472.55,4899.2
4189.5,4192.98,1477.21,4935.7
4189.6,4193.08,1482.13,4972.2
4189.7,4193.18,1486.71,5009.0
4189.8,4193.28,1490.71,5045.6
4189.9,4193.38,1494.51,5082.5
4190.0,4193.48,1498.06,5119.5
4190.1,4193.58,1501.42,5156.6
4190.2,4193.68,1504.73,5193.8
4190.3,4193.78,1508.16,5230.9
4190.4,4193.88,1511.82,5268.2
4190.5,4193.98,1516.01,5305.7
4190.6,4194.08,1520.31,5343.2
4190.7,4194.18,1524.41,5380.9
4190.8,4194.28,1528.09,5418.5
4190.9,4194.38,1531.6,5456.3
4191.0,4194.48,1534.94,5494.2
4191.1,4194.58,1538.18,5532.2
4191.2,4194.68,1541.43,5570.3
4191.3,4194.78,1544.85,5608.3
4191.4,4194.88,1548.78,5646.6
4191.5,4194.98,1553.73,5684.9
4191.6,4195.08,1590.48,5723.4
4191.7,4195.18,1594.16,5762.8
4191.8,4195.28,1596.7,5802.1
4191.9,4195.38,1598.75,5841.6
4192.0,4195.48,1600.92,5881.2
4192.1,4195.58,1603.18,5920.8
4192.2,4195.68,1605.78,5960.5
4192.3,4195.78,1608.6,6000.0
4192.4,4195.88,1611.62,6039.8
4192.5,4195.98,1614.97,6079.8
4192.6,4196.08,1618.47,6119.7
4192.7,4196.18,1622.06,6159.8
4192.8,4196.28,1625.67,6199.8
4192.9,4196.38,1629.42,6240.0
4193.0,4196.48,1633.76,6280.4
4193.1,4196.58,1638.85,6320.9
4193.2,4196.68,1644.14,6361.5
4193.3,4196.78,1649.53,6402.0
4193.4,4196.88,1655.26,6442.9
4193.5,4196.98,1661.34,6483.9
4193.6,4197.08,1668.09,6525.1
4193.7,4197.18,1675.07,6566.4
4193.8,4197.28,1681.64,6607.7
4193.9,4197.38,1688.72,6649.4
4194.0,4197.48,1696.13,6691.3
4194.1,4197.58,1703.69,6733.3
4194.2,4197.68,1710.96,6775.5
4194.3,4197.78,1718.0,6817.7
4194.4,4197.88,1725.06,6860.3
4194.5,4197.98,1732.15,6903.1
4194.6,4198.08,1739.09,6946.0
4194.7,4198.18,1745.76,6989.1
4194.8,4198.28,1752.3,7032.2
4194.9,4198.38,1758.67,7075.6
4195.0,4198.48,1764.91,7119.2
4195.1,4198.58,1771.07,7162.9
4195.2,4198.68,1777.21,7206.8
4195.3,4198.78,1783.43,7250.6
4195.4,4198.88,1789.53,7294.8
4195.5,4198.98,1795.7,7339.1
4195.6,4199.08,1801.93,7383.6
4195.7,4199.18,1808.22,7428.3
4195.8,4199.28,1814.7,7472.8
4195.9,4199.38,1820.93,7517.8
4196.0,4199.48,1827.16,7562.9
4196.1,4199.58,1833.49,7608.2
4196.2,4199.68,1839.97,7653.6
4196.3,4199.78,1846.59,7699.0
4196.4,4199.88,1853.59,7744.8
4196.5,4199.98,1861.01,7790.7
4196.6,4200.08,1867.93,7836.8
4196.7,4200.18,1874.56,7883.1
4196.8,4200.28,1881.14,7929.3
4196.9,4200.38,1887.93,7975.9
4197.0,4200.48,1894.91,8022.7
4197.1,4200.58,1903.06,8069.7
4197.2,4200.68,1910.72,8116.9
4197.3,4200.78,1918.74,8164.0
4197.4,4200.88,1926.41,8211.5
4197.5,4200.98,1933.81,8259.3
4197.6,4201.08,1941.1,8307.2
4197.7,4201.18,1948.82,8355.3
4197.8,4201.28,1956.74,8403.4
4197.9,4201.38,1964.66,8451.9
4198.0,4201.48,1972.96,8500.6
4198.1,4201.58,1980.84,8549.5
4198.2,4201.68,1988.36,8598.6
4198.3,4201.78,1995.72,8647.6
4198.4,4201.88,2003.1,8697.0
